"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
9;"Cornus sanguinea";"Cornus sanguinea";"L.";"Cornus sanguinea";"L.";"Cornaceae";"Cornus";"sanguinea";"species"
900;"Cornus sanguinea";"Cornus sanguinea";"L.";"Cornus sanguinea";"L.";"Cornaceae";"Cornus";"sanguinea";"species"
152;"Coronilla emerus";"Coronilla emerus";;"Hippocrepis emerus";"(L.) Lassen";"Fabaceae";"Hippocrepis";"emerus";"species"
1152;"Coronilla glauca";"Coronilla glauca";"L.";"Coronilla valentina  subsp. glauca";"(L.) Batt.";"Fabaceae";"Coronilla";"valentina";"subspecies"
3152;"Coronilla juncea";"Coronilla juncea";"L.";"Coronilla juncea";"L.";"Fabaceae";"Coronilla";"juncea";"species"
5104;"Coronilla spp.";"Coronilla";;"Coronilla";"L.";"Fabaceae";"Coronilla";;"genus"
74;"Corylus avellana";"Corylus avellana";"L.";"Corylus avellana";"L.";"Betulaceae";"Corylus";"avellana";"species"
118;"Cotoneaster spp.";"Cotoneaster";;"Cotoneaster";"Medik.";"Rosaceae";"Cotoneaster";;"genus"
515;"Crataegus azarolus";"Crataegus azarolus";"L.";"Crataegus azarolus";"L.";"Rosaceae";"Crataegus";"azarolus";"species"
415;"Crataegus lacinata";"Crataegus lacinata";;"Crataegus laciniata";"Ucria";"Rosaceae";"Crataegus";"laciniata";"species"
315;"Crataegus laevigata";"Crataegus laevigata";"(Poir.) DC.";"Crataegus laevigata";"(Poir.) DC.";"Rosaceae";"Crataegus";"laevigata";"species"
215;"Crataegus monogyna";"Crataegus monogyna";"Jacq.";"Crataegus monogyna";"Jacq.";"Rosaceae";"Crataegus";"monogyna";"species"
15;"Crataegus spp.";"Crataegus";;"Crataegus";"L.";"Rosaceae";"Crataegus";;"genus"
1500;"Cultivo en mosaico";;;;;;;;
236;"Cupressus arizonica";"Cupressus arizonica";"Greene";"Cupressus arizonica";"Greene";"Cupressaceae";"Cupressus";"arizonica";"species"
